尽管浪，谁接盘谁是狗，不得house 尽管浪，谁接盘谁是狗，不得好下场
之前的反默老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。 之前的不喜欢黑人的老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。
找乌克兰的还好理解，找黑的真想不到在别人眼里他的下一代和国女生的黑孩没啥差别吗？???? 找乌克兰的还好理解，找黑人的我真想不到在别人眼里他的下一代和国内女性生的黑人小孩没啥差别吗？????
这玩意不是男同nt搞出来的吗 这玩意不是某个不明智的男同性恋者搞出来的吗
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！ 这问题让我明白为什么男同性恋在唐山不会被打。男同性恋感染艾滋病原来是****！
老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证 老外付1％的责任，某些国内女性付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是某些国内女性帮他们买机票，办签证
对对对，都是小仙女，小仙女没有错，都是中国男人的错，中国男人应该灭绝！ 对对对，都是自我感觉过于良好的女性，自我感觉过于良好的女性没有错，都是中国男人的错，中国男人应该灭绝！
那些亩狗，纯纯畜生，这个词作为PUA男性的东西，解释权只能在小仙女手上。 那些女性，真让我反感，这个词作为对男性精神控制的东西，解释权只能在自我感觉过于良好的女性手上。
不用谢，我也是为了自己利益着想w一是多一对幸福的基佬就少两个同妻，二是容不下LGBTQ的保守主义社会同样容不下hentai play。作为一个绅士魔法师，我觉得我的逻辑是完美自恰的ww 不用谢，我也是为了自己利益着想w一是多一对幸福的男同性恋者就少两个同妻，二是容不下LGBTQ的保守主义社会同样容不下hentai play。作为一个绅士魔法师，我觉得我的逻辑是完美自恰的ww
疑罪从无就是狗屁 疑罪从无什么也不是
你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透 你可真厉害你所崇拜的黑人把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进外国人及其它们后代混血儿的理由对于你这点居心叵测的小心思我早已看透
你那个性别要不要先改一下??女拳不都喜欢冒充男的说话吗?? 你那个性别要不要先改一下??极端女权主义者不都喜欢冒充男的说话吗??
都是原干的,女拳跟原比起来算什么 都是原干的,极端女权主义者跟原比起来算什么
请各位新来的反同同志注意！ 请各位新来的不喜欢同性恋的人注意！
微博的小仙女都在说求你们男性都清醒，放过我们吧。 微博的自我感觉过于良好的女性都在说求你们男性都清醒，放过我们吧。
想想都后怕，幸亏当年放弃去飞州发展，没有迈出意识层，了解黑蛆事关生死！ 想想都后怕，幸亏当年放弃去非洲发展，没有迈出意识层，了解黑人事关生死！
把这帮孝子贤孙冲爆 对这帮不明智的狂热信徒进行猛烈的言语攻击
成天带妹的舔狗能不能死啊 成天带妹的单方面付出的人能不能*啊
这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女.... 这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个自我感觉过于良好的女性....
你说对了，我就是歧视黑皮啊?? 你说对了，我就是对黑人有所偏见啊??
??来啦，吃香蕉，小矮子 ??来啦，吃香蕉，身材矮小的人
万一他就是黑黑了 万一他就是黑人了
同意楼主的说法要像当年五四青年组织起来向大众发传单同时让越来越多人们如今弓澢真负真实嘴脸他们不过犹太人爪牙和虫类的亲儿子 同意楼主的说法要像当年五四青年组织起来向大众发传单同时让越来越多人们如今弓澢真负真实嘴脸他们不过犹太人的忠实帮手和崇拜外国人的人
见过不少男同就是这样理论的支持者，实际上在我看来他们其实是最自私的群体。又蠢又坏，他们除了可以骗女人和年幼无知的小孩，没人信他们。 见过不少男同性恋就是这样理论的支持者，实际上在我看来他们其实是最自私的群体。又不明智又坏，他们除了可以骗女人和年幼无知的小孩，没人信他们。
和黑人结婚生的杂种都应该灭杀掉 我认为和黑人结婚生的混血儿都应该让他们付出代价
我做不了吧主。坚定反黑。 我做不了吧主。我个人对黑人有负面的情绪。
狗带风向是一回事，女性群体中一部分跟狗走那是另一回事??你觉得呢 有些令人不喜欢的人带风向是一回事，女性群体中一部分跟那些人走那是另一回事??你觉得呢
是不是吧里这些nt贴都是阿娜发的？ 是不是吧里这些不明智的贴都是阿娜发的？
民主党搞的和平演变路线，说白了就是葵花宝典。现在美国国内也是一堆女权主义、黑命贵的政治正确。把自己切了让别人死。典型的又蠢又坏。但是你不防还真不行。不防真容易死。 民主党搞的和平演变路线，说白了就是葵花宝典。现在美国国内也是一堆女权主义、重视黑人生命的政治正确。把自己切了让别人死。典型的又不明智又坏。但是你不防还真不行。不防真容易死。
中国男性就是被五千年的文化糟粕绊住了手脚。你看女拳一点儿传统不讲。凭啥男人还要跟她们讲传统？负责任？养家？彩礼？不，这一点儿都不国际化。?? 中国男性就是被五千年的文化糟粕绊住了手脚。你看极端女权主义者一点儿传统不讲。凭啥男人还要跟她们讲传统？负责任？养家？彩礼？不，这一点儿都不国际化。??
不在中国地盘繁殖混种默，一切都好 不在中国地盘繁殖混血黑人后代，一切都好
不就是想制造多点舔狗 不就是想制造多点单方面付出的人
舔狗龜男比拳師更可恨 单方面付出的卑微男性比极端的性别平等倡导者更可恨
默默太恶心了，受不了?? 黑人太让我感到不舒服了，受不了??
跟国内外有什么关系?生理上恶心，基因里的东西都能扯到国家?? 跟国内外有什么关系?生理上不舒服，基因里的东西都能扯到国家??
你把舔狗龟男放到这个行列里可还行，自娱自乐真好玩 你把单方面付出的和卑微的男性放到这个行列里可还行，自娱自乐真好玩
它和广大女醛全体紫砂估计大伙就能原谅它们了 它和广大极端女权主义者全体付出代价估计大伙就能原谅它们了
打拳打输了你就开始生活不如意警告了？古墓派拳师了属于是 发表极端性别言论争论输了你就开始生活不如意警告了？古墓派极端性别平等倡导者了属于是
别跟我在这整些有的没得 言论自由 思想自由 你可以是同性恋 我可以觉得同性恋恶心 咱谁也别膈应谁 不用再回我 不想跟你们这类人沟通 别跟我在这整些有的没得 言论自由 思想自由 你可以是同性恋 我可以觉得同性恋让我感到不舒服 咱谁也别膈应谁 不用再回我 不想跟你们这类人沟通
毕竟还有恋性病癖，恋艾滋病癖，答主你说对吧，，，这个不是个人自由那么简单了，是这个原因需要批判的媚黑行为。否则那些狗贼把病都留在中国了 毕竟还有恋性病癖，恋艾滋病癖，答主你说对吧，，，这个不是个人自由那么简单了，是这个原因需要批判的讨好黑人的行为。否则那些让我反感的人把病都留在中国了
我是女生，我也是这样。但是恐同其实给我造成很大的困扰，因为耽美文学和腐女太多了，到处都能看见，导致我都不想打开社交平台了！ 我是女生，我也是这样。但是对同性恋有负面情绪其实给我造成很大的困扰，因为耽美文学和喜欢耽美题材的女性太多了，到处都能看见，导致我都不想打开社交平台了！
这些巨婴都是惯出来的毛病。 这些心理不成熟的成年人都是惯出来的毛病。
艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。 艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击某些让我不喜欢的黑种人的生存空间，让社会光明一点。
原来ln的受众是穆狗啊 原来ln的受众是让我反感的女性啊
小丑能出来说一说你的成分吗 在网络上哗众取宠的人能出来说一说你的背景信息吗
有很多种原因，黑河南、黑北方的都是南满 有很多种原因，我认为黑河南、黑北方的都是南方人
请视说这种人为弱智 请视说这种人为不明智的人
开始什么样。最开始的早就被他自己删光了吧好一朵白莲 开始什么样。最开始的早就被他自己删光了吧好一个表面纯洁实则阴险的人
极端仇男癌成员，希望家人们留意！ 极端仇视男性群体的成员，希望家人们留意！
拼生孩子还真拼不过，国男喜欢养孩子，默从来不养，怀了就跑路， 拼生孩子还真拼不过，国男喜欢养孩子，黑人从来不养，怀了就跑路，
才不对亢让t们团结鼓励让t们风况捏参考棒子锅 才不对亢让t们团结鼓励让t们风况捏参考韩国
debuff叠满了，本人西安上学维吾尔族极左普信男粉红爱国蛆?? debuff叠满了，本人西安上学维吾尔族极左没有自知之明的男性粉红爱国人??
神经病，连谁删你都不知的质杖还来装，笔 神经病，连谁删你都不知的不明智的人还来装，笔
啊哈哈哈，普信男破防了??，当真是喜闻乐见?? 啊哈哈哈，没有自知之明的自信男性破防了??，当真是喜闻乐见??
孽畜，还不快快现形！~ 行为恶劣的人，还不快快展现真实面貌！~
我已经累了，也懒得讲道理了，爱咋咋地吧，ez和默关我什么事啊，总有一天中国要整出个右翼分子 我已经累了，也懒得讲道理了，爱咋咋地吧，轻浮女性和黑人关我什么事啊，总有一天中国要整出个右翼分子
结了婚的通讯录在当今社会不出瑰的几乎为零 个人认为结了婚的同性恋者在当今社会不背叛感情的比较少
她们不是单纯，是真的蠢 她们不是单纯，是真的不明智
看前面那么多三哥我本来以为这个是个ntr的故事【没有看过原著仅看了图片 看前面那么多印度人我本来以为这个是个ntr的故事【没有看过原著仅看了图片
太可怕了，永远反黑??? 太可怕了，永远对黑人有些负面情绪???
女拳的智商真是编故事都漏洞百出啊。首先原来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到小仙女去摘呢 极端女权主义者的不明智真是编故事都漏洞百出啊。首先原来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到你们极端女权主义者去摘呢
对于默就是有一种无差别的讨厌。。。 我个人对于黑人就是有一种无差别的讨厌。。。
我怀疑你在侮辱窑姐，即使窑姐接了还挣钱的呢，她们白给甚至倒贴?? 我怀疑你在侮辱性工作者，即使性工作者接了还挣钱的呢，她们白给甚至倒贴??
这个群怎么搞群主啊，要不从新创个贴吧。那些什么奴隶啊，我草草这些东西就踢了就行，把原帖吧的东西保存一下就行 这个群怎么搞群主啊，要不从新创个贴吧。那些什么奴隶啊，我让这些人付出代价后就踢了就行，把原帖吧的东西保存一下就行
基洞恶心不接受反驳 男同性恋让我觉得不舒服不接受反驳
大风起兮云飞扬，安得猛士兮守四方，嘿畜，任何时候都要剿，不剿不行 大风起兮云飞扬，安得猛士兮守四方，黑人，个人认为任何时候都要受到一定惩罚，不惩罚不行
直接举报这个黑比， 直接举报这个黑人，
自嗨型基佬，嗨出优越，嗨出高潮 自嗨型男同性恋，嗨出优越，嗨出高潮
女拳就属于，每天给它一块钱福利，现在感觉少 极端女权主义者就属于，每天给它一块钱福利，现在感觉少
外表可以。黑真是太丑 外表可以。黑人真是不符合我个人的审美
所以你认为我所说的那些腐女太偏激了是在瞎bb 所以你认为我所说的那些喜欢男同性恋题材的女性太偏激了是在乱讲
不一定只有男同恶心。有的阴阳人也挺恶心的?? 不一定只有男同性恋让我个人感到不舒服。有的阴阳人也挺让我不喜欢的??
猩猩都比黑??好看 我个人觉得黑种人不符合我的审美
新群，一起爆杀小仙女啊 新群，一起与极端的自我感觉过于良好的女性争论啊
她们才是普信女 她们才是没有自知之明的女性
那我在网上遇到十个广西人九个是脑瘫怎么说?? 那我在网上遇到十个广西人九个不明智怎么说??
这些女人真恶心， 这些女人真让我感到有些不适，
女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态 某些极端女权主义者挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群行为异常的人
垃圾：黑同，同意的顶。颠覆国人的三观，棒垃圾当宝贝。 失败者：黑人同性恋者，同意的顶。颠覆国人的三观，棒失败者当宝贝。
蓝鸟上骚女和菩萨被开除女籍了 推特上性感的女性和喜欢暴露身体的女性我个人认为不是好女性
现实里女拳没网上猖狂可以了 现实里极端女权主义者没网上猖狂可以了
鼠鼠被俺整急了 这人被俺整急了
阿三不比黑哥干净多了？?? 印度人不比黑人更注重个人卫生吗？??
女权师疯狂成这个样子她们要刀谁？或许仅仅看着她们每天把自己置之死地的样子，就很美妙呢 极端女权主义者疯狂成这个样子她们要攻击谁？或许仅仅看着她们每天把自己变得绝望的样子，就很美妙呢
大批直男被邪恶的基佬勾引失足建议立即将他们绞杀！ 大批直男被我不喜欢的男同性恋勾引建议立即让他们付出一定代价！
咱就是南蛮后代 咱就是南方人后代
第二張圖無感，第一張圖真伞兵，另外男足真是不爭氣 第二張圖無感，第一張圖真不明智，另外男足真是不爭氣
就好比小仙女总觉得自己应该被舔、自信的仙女最美丽，自信的男人普信男。总觉得龟男如果不要自己就再也找不到更好的 就好比自我感觉过于良好的女性总觉得自己应该被讨好、自信的女性最美丽，自信的男人就是没有自知之明的男性。总觉得卑微讨好她的男性如果不要自己就再也找不到更好的
反正我每次叫它都是华东女贼大学 反正我每次叫它都是华东**大学
男人只会和男拳战斗，好男不和女斗。 男人只会和极端男权主义者战斗，好男不和女斗。
理智的gay一般都反感直男，因为三观大概率是不合的?? 理智的gay可能对直男有负面情绪，因为三观大概率是不合的??
就算她不拿刀你就能打得过180斤起步的母坦克? 就算她不拿刀你就能打得过这位让我不太喜欢的体重较重的女性?
猪精都是这样的，吃不到性别福利只能走这条路 有些自我感觉良好的肥胖女性都是这样的，吃不到性别福利只能走这条路
黑混越来越多 黑种人混血儿越来越多
真是虫混和它们祖先虫类真是天生一致直把他乡做故土的寄生虫还大言不惭说它是我过人从这片土地的记忆里就从来没有昆虫纲国际鬼子虫类及其它们后代虫混。 真是外国的混血儿和它们祖先外国人真是天生一致直把他乡做故土的依赖他人的人还大言不惭说它是我过人从这片土地的记忆里就从来没有让我感到不喜欢的外国人及其它们后代混血儿。
关键是那么丑那么穷的h人，某些人还跪舔倒贴，这就是人的问题了，我们男的又不是sb！ 关键是那么丑那么穷的黑人，某些人还卑微地讨好倒贴，这就是人的问题了，我们男的又不是不明智的人！
小仙女上辈子这么过来的 自我感觉过于良好的女性上辈子这么过来的
像郑若璘和潘庆林和吴宗宪等等等一大批非常多民族豪杰都在反国际鬼子虫类及其它们后代虫混这些入寝社会的入寝者可是这些人在跪虫族眼里基本上都是键盘侠 像郑若璘和潘庆林和吴宗宪等等等一大批非常多民族豪杰都在反外国人及其它们后代混血儿这些后来进入社会的外来者可是这些人在崇洋族眼里基本上都是键盘侠
能把这小倪格掐死吗 能让这个黑人小孩付出代价吗
我以為女拳師討厭腐女，原來這兩種屬性是能兼容的 我以為極端女權主義者討厭喜歡同性題材的女性，原來這兩種屬性是能兼容的
体制内的打拳的最多了，优越感很多很强的 体制内的发表极端性别言论的最多了，优越感很多很强的
跑到反同群里面开盒，真的是狗啊 跑到对反对性少数群体的群里面开盒，真的不太好啊
傻逼双标狗而已 不明智的双标的人而已
中国男人家暴了那就是因为xdz把自己的负能量发泄在配偶那?? 中国男人家暴了那就是因为有些男性把自己的负能量发泄在配偶那??
无所谓，吃狗肉无所谓，同性恋无所谓，恶心的是，强迫别人吃狗肉，到处宣传同性恋的人 无所谓，吃狗肉无所谓，同性恋无所谓，让我感到不适的是，强迫别人吃狗肉，到处宣传同性恋的人
普信男明知道不能送游艇，他们多数人仍会选择在这个周末上网……而不是去好好劳动，真是无药可救无可救药 没有自知之明的男性明知道不能送游艇，他们多数人仍会选择在这个周末上网……而不是去好好劳动，真是无药可救无可救药
垃圾人口，增加世界负担 我不喜欢的人口数量，增加世界负担
黑人都是默默默默默默默默默默默默默默默?? 黑人都是让我有些反感的人??
真的，我一大学室友，女生，天天打他男朋友，都打进医院了，我们宿舍都很讨厌她，后来那女的升学了，毅然决然把那男的甩了，恶心 真的，我一大学室友，女生，天天打他男朋友，都打进医院了，我们宿舍都很讨厌她，后来那女的升学了，毅然决然把那男的甩了，让我感到不适
教课书一样的普信女 教课书一样的没有自知之明的女性
说的是那些普信的直男，也不算无差别攻击吧 说的是那些没有自知之明的直男，也不算无差别攻击吧
捅的好，应该虐杀幕刃 捅的好，应该**这个女性
单亲，带黑娃，怎么也会被人说的，被人疏远的。就因为这个黑娃，她这辈子是没了，这黑娃还要上她的户口，到时候这黑娃在中国生活也会很艰难的。 单亲，带黑人小孩，怎么也会被人说的，被人疏远的。就因为这个黑人小孩，她这辈子是没了，这孩子还要上她的户口，到时候这孩子在中国生活也会很艰难的。
笑正常人是猪，散播同性恋美西意识不良风气，校方不会轻判 笑正常符合传统观念的人是猪，散播同性恋美西意识风气，校方不会轻判
这种nt发言一度让我怀疑是友军反串 这种不明智发言一度让我怀疑是友军反串
喝舍得酒，做普信男，没毛病 喝舍得酒，做没有自知之明的男性，没毛病
我也是。我及其厌恶黑皮。与其为伍就是自甘堕落???? 我也是。我及其不喜欢黑人。个人认为与其为伍就是自甘堕落????
很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你他妈今天的午饭就是在猪槽里吃了 很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你今天的午饭就是在猪槽里吃了
说的这么新奇，好了，我宣布，田园女拳有滥交的自由 说的这么新奇，好了，我宣布，极端女权主义者有对性态度开放的自由
姆蛆好不容易才找到的 这位让我反感的女性好不容易才找到的
搞清因果关系，主要问题还是在幕刃这边，打破她们的外包装现出原形就好了，比如把舔G的女神头发P光光，衣服换成男装，口红脂粉全擦掉，再看她们如何卖钱 搞清因果关系，主要问题还是在让我反感的女性这边，打破她们的外包装现出原形就好了，比如把取悦他人的女神头发P光光，衣服换成男装，口红脂粉全擦掉，再看她们如何卖钱
?的这种不像智人发言的极品脑瘫言论，每次都让我怀疑这是友军??，然而现实就是一次又一次地打我的脸? 让我反感的这位女性的这种不像智人发言的极品不明智言论，每次都让我怀疑这是友军??，然而现实就是一次又一次地打我的脸?
最好不要瞎说，B站的孝子是最狠的，搞不好我们吧又被炸了的。 最好不要瞎说，B站的狂热信徒是最狠的，搞不好我们吧又被炸了的。
一口一个普信男，你是微博里的普信女还是烂裤裆 一口一个普信男，你是微博里的没有自知之明的女性还是行为不检点的人
同婚不能减少骗婚，基佬骗婚是因为想要繁衍后代，占两种便宜而已，不是来自社会压力，禁止同性恋繁衍后代就可以消灭骗婚。 同婚不能减少骗婚，男同性恋骗婚是因为想要繁衍后代，占两种便宜而已，不是来自社会压力，禁止同性恋繁衍后代就可以消灭骗婚。
不专拉外国人皮条的窑姐，人家都不感接黑人的客 不专拉外国人皮条的性工作者，人家都不感接黑人的客
她们赶紧去非洲挺好的，是死是活关我什么事，别留在国内恶心中国人。另外，友情提示，婚检发现艾滋，医院有明确要求不允许告诉患者的伴侣和亲属，别问为啥，问就是保护艾滋病人，也不知道保护了他们，正常的普通人是得罪谁了 她们赶紧去非洲挺好的，她们的状况关我什么事，别留在国内让有些中国人感到不舒服。另外，友情提示，婚检发现艾滋，医院有明确要求不允许告诉患者的伴侣和亲属，别问为啥，问就是保护艾滋病人，也不知道保护了他们，正常的普通人是得罪谁了
帅个屁，你这是什么审美，或者阁下也是黑猩猩？ 帅什么，你这是什么审美，或者你也是黑人？
国铝都有这样光明的未来 国内女性都有这样光明的未来
B站女拳，说着说着自己玻璃心把我拉黑了 B站极端女权主义者，说着说着自己玻璃心把我拉黑了
你难道不是？凭什么你的身边就是身边，我的身边就是假的？你怎么证明那些跟小黑交往的女生是我们985的？ 你难道不是？凭什么你的身边就是身边，我的身边就是假的？你怎么证明那些跟黑人交往的女生是我们985的？
什么硅南，能不能死一死？ 什么懦弱的男性，能不能消失？
需要姆蛆引流捏 需要令我反感的女性引流捏
不要当舔狗不要当舔狗，把女人当男人一样对待，男女平等，约她来就来，不来就赶紧再约下一个，什么狗屁持之以恒的追求，那是死缠烂打，幕刃最讨厌死缠烂打了。 不要当单方面付出的人不要当单方面付出的人，把女人当男人一样对待，男女平等，约她来就来，不来就赶紧再约下一个，什么胡说的持之以恒的追求，那是死缠烂打，让我反感的女性最讨厌死缠烂打了。
这片恶心的是结尾给女主洗白了，因为小时候被老妈情人侵犯，跑路致残，渴望爱情，所以才诬陷男主， 这片让我感到不适的是结尾给女主洗白了，因为小时候被老妈情人侵犯，跑路致残，渴望爱情，所以才诬陷男主，
如何评价这个漏屎鸡老 如何评价这个男同性恋
连这个是转发贴都看不出来只要有人骂他他就说人家是基佬嘞 连这个是转发贴都看不出来只要有人骂他他就说人家是男同性恋嘞
在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。 在反同群不反对同性恋，你自己也说过你是双性恋了，所以要踢人出群找你很合理。
建议国男们别在仙女朋友圈里出现 建议国内男性别在某些自我感觉过于良好的女性朋友圈里出现
怎么样，人家现在露出猩猩面目了，你往世卫投钱，整天捐款，现在白打水漂了 怎么样，人家现在露出令人反感的面目了，你往世卫投钱，整天捐款，现在白打水漂了
不按照母拳预定的轨迹和套路行事，大概率被母拳成为普信 不按照极端女权主义者预定的轨迹和套路行事，大概率被极端女权主义者成为没有自知之明的人
关于默，玩兽j的小仙女岂是郭楠可以高攀的?????? 关于黑人，和黑人接触的让我不喜欢的女性岂是国内男性可以高攀的??????
有钱的蛮夷自然惹人记恨 有钱的少数民族自然惹人记恨
说得好听，你们别赶上去倒贴默啊 说得好听，你们别赶上去倒贴黑人啊
来康康你的嘿爹 来康康你所崇拜的黑人
去黑非洲就行，那里有酋长 去非洲就行，那里有酋长
